Common name, Scientific name,Extinction date,Decades,Range,Continent,Category
Giant aye-aye,Daubentonia robusta,1000 AD,1000s,Madagascar,Africa,Mammals
Malagasy hippopotamus,Hippopotamus sp.,1000 AD,1000s,Madagascar,Africa,Mammals
Microgale macpheei,Type of shrew tenrec,100 AD,100s,Madagascar,Africa,Mammals
Voay robustus,,100 AD,100s,Madagascar,Africa,Reptiles
Giant fossa,Cryptoprocta spelea,Before 1400,1300s,Madagascar,Africa,Mammals
Archaeoindris,,Before 1500,1400s,Madagascar,Africa,Mammals
Archaeolemur,,Before 1500,1400s,Madagascar,Africa,Mammals
Babakotia,,Before 1500,1400s,Madagascar,Africa,Mammals
Hadropithecus,,Before 1500,1400s,Madagascar,Africa,Mammals
Lava mouse,Malpaisomys insularis,Before 1500,1400s,Spain (Canary Islands),Africa,Mammals
Mesopropithecus,,Before 1500,1400s,Madagascar,Africa,Mammals
Canary Islands giant rat,Canariomys bravoi and Canariomys tamarani,Before 1500,1400s,Spain (Canary Islands),Africa,Mammals
Koala lemur,Megaladapis sp.,1420 AD,1420s,Madagascar,Africa,Mammals
Large sloth lemur,Palaeopropithecus sp.,1500s,1500s,Madagascar,Africa,Mammals
Ascension night heron,Nycticorax olsoni,1600s,1500s,United Kingdom (Ascension),Africa,Birds
Elephant bird,"Aepyornis, Mullerornis sp. Vorombe titan",1600s,1500s,Madagascar,Africa,Birds
Saint Helena dove,Dysmoropelia dekarchiskos,After 1502,1500s,United Kingdom (Saint Helena),Africa,Birds
Saint Helena rail,Porzana astrictocarpus,After 1502,1500s,United Kingdom (Saint Helena),Africa,Birds
Small Saint Helena petrel,Bulweria bifax,After 1502,1500s,United Kingdom (Saint Helena),Africa,Birds
Saint Helena hoopoe,Upupa antaios,Early 16th century,1500s,United Kingdom (Saint Helena),Africa,Birds
Mauritian giant skink,,1600,1600s,Leiolopisma mauritiana,Africa,Reptiles
Large Saint Helena petrel,Pseudobulweria rupinarum,Early 16th century,1600s,United Kingdom (Saint Helena),Africa,Birds
Saint Helena crake,Porzana astrictocarpus,Early 17th century,1600s,United Kingdom (Saint Helena),Africa,Birds
Mauritian giant skink,Didosaurus maurtianus,1650,1650s,Mauritius,Africa,Reptiles
Ascension flightless crake,Mundia elpenor,1656?,1650s,United Kingdom (Ascension),Africa,Birds
Mauritius night-heron,Nycticorax mauritianus,Late 17th century,1650s,Mauritius,Africa,Birds
Réunion night heron,,Late 17th century,1650s,Nycticorax duboisi,Africa,Birds
Réunion rail,,Late 17th century,1650s,Dryolimnas augusti,Africa,Birds
Réunion owl,,Late 17th century,1650s,Mascarenotus grucheti,Africa,Birds
Dodo,Raphus cucullatus,1662,1660s,Mauritius,Africa,Birds
Broad-billed parrot,Lophopsittacus mauritianus,1680,1680s,Mauritius,Africa,Birds
Mauritian duck,Anas theodori,1690s,1690s,Mauritius and France (Reunion),Africa,Birds
Mauritian shelduck,Alopochen mauritianus,1690s,1690s,Mauritius and France (Reunion),Africa,Birds
Réunion shelduck,Mascarenachen kervazoi,1690s,1690s,France (Reunion),Africa,Birds
Réunion shelduck,,1690s,1690s,Alopochen kervazoi ,Africa,Birds
Mascarene coot,Fulica newtoni,1700,1700s,Mauritius and France (Reunion),Africa,Birds
Réunion kestrel,,1700,1700s,Falco duboisi,Africa,Birds
"Réunion pink pigeon, ",,1700,1700s,Streptopelia duboisi,Africa,Birds
Réunion pigeon,Nesoenas duboisi,1705,1700s,France (Reunion),Africa,Birds
Red rail,Aphanapteryx bonasia,1700s,1700s,Mauritius,Africa,Birds
Réunion kestrel,Falco duboisi,1700s,1700s,France (Reunion),Africa,Birds
Réunion night-heron,Nycticorax duboisi,1700s,1700s,France (Reunion),Africa,Birds
Réunion owl,Mascarenotus grucheti,1700s,1700s,France (Reunion),Africa,Birds
Réunion flightless ibis,Threskiornis solitarius,Early 18th century,1700s,France (Réunion),Africa,Birds
Domed Mauritius giant tortoise,Cylindraspis triserrata,Early 18th century,1700s,Mauritius,Africa,Reptiles
Saddle-backed Mauritius giant tortoise,Cylindraspis inepta,Early 18th century,1700s,Mauritius,Africa,Reptiles
Réunion ibis,,Early 18th century,1700s,Threskiornis solitarius,Africa,Birds
Réunion gallinule,Porphyrio coerulescens,1730,1730s,France (Réunion),Africa,Birds
Rodrigues night-heron,Nycticorax megacephalus,1750s,1750s,Mauritius,Africa,Birds
Rodrigues owl,Mascarenotus murivorus,1750s,1750s,Mauritius,Africa,Birds
Rodrigues parrot,Necropsittacus rodericanus,1750s,1750s,Mauritius,Africa,Birds
Rodrigues rail,Erythromachus leguati,1750s,1750s,Mauritius,Africa,Birds
Rodrigues starling,Necropsar rodericanus,1750s,1750s,Mauritius,Africa,Birds
Réunion swamphen,,Mid 18th century,1750s,Porphyrio coerulescens,Africa,Birds
Réunion parakeet,,Mid 18th century,1750s,Psittacula eques eques,Africa,Birds
Mascarene grey parakeet,Psittacula bensoni,1764,1760s,Mauritius,Africa,Birds
Mauritius grey parrot,Psittacula bensoni,1764,1760s,Mauritius and France (Reunion),Africa,Birds
Rodrigues solitaire,Pezophaps solitaria,1778,1770s,Mauritius,Africa,Birds
Réunion giant tortoise,,1800,1800s,Cylindraspis indica,Africa,Reptiles
Bluebuck,Hippotragus leucophaeus,1799 or 1800,1800s,South Africa,Africa,Mammals
Domed Rodrigues giant tortoise,Cylindraspis peltastes,1800s,1800s,Mauritius,Africa,Reptiles
Saddle-backed Rodrigues giant tortoise,Cylindraspis vosmaeri,1800s,1800s,Mauritius,Africa,Reptiles
Delalande's coua,Coua delalandei,1834,1830s,Madagascar,Africa,Birds
Mascarene parrot,Mascarinus mascarinus,1834,1830s,France (Reunion),Africa,Birds
Mascarene parrot,,1834,1830s,Mascarinus mascarinus,Africa,Birds
Mauritius blue pigeon,Alectroenas nitidissimus,1830s,1830s,Mauritius,Africa,Birds
Rodrigues giant day gecko,Phelsuma gigas,1842,1840s,Mauritius,Africa,Reptiles
Réunion giant tortoise,Cylindraspis indica,1840s,1840s,France (Reunion),Africa,Reptiles
Mauritius owl,Mascarenotus sauzieri,1850,1850s,Mauritius,Africa,Birds
Réunion starling,Fregilupus varius,1850s,1850s,France (Réunion),Africa,Birds
Bourbon crested starling,,1850s,1850s,Fregilupus varius,Africa,Birds
Saint Helena cuckoo,Nannococcyx psix,Late 18th century,1850s,United Kingdom (Saint Helena),Africa,Birds
Tristan moorhen,Gallinula nesiotis,Late 19th century,1850s,United Kingdom (Tristan da Cunha),Africa,Birds
Lesser Mascarene flying fox,,1862,1860s,Pteropus subniger,Africa,Mammals
Lesser Mascarene flying fox,Pteropus subniger,1864-1873,1860s,Mauritius and France (Reunion),Africa,Mammals
Cape warthog,Phacochoerus aethiopicus aethiopicus,1871,1870s,South Africa,Africa,Mammals
Newton's parakeet,Psittacula exsul,1875,1870s,Mauritius,Africa,Birds
Cape lion,Panthera leo melanochaitus,1876,1870s,South Africa,Africa,Mammals
Atlas bear,Ursus arctos crowtheri,1870s,1870s,North Africa,Africa,Mammals
Quagga,Equus quagga quagga,1883,1880s,Namibia and South Africa,Africa,Mammals
Seychelles parakeet,Psittacula wardis,1886,1880s,Seychelles,Africa,Birds
Red gazelle,Eudorcas rufina,1894,1890s,Algeria,Africa,Mammals
De Winton's golden mole,Cryptochloris wintoni,1907,1900s,South Africa,Africa,Mammals
Eastwood's long-tailed seps,Tetradactylus eastwoodae,1912,1910s,South Africa,Africa,Reptiles
Rodrigues day gecko,Phelsuma edwardnewtoni,1917,1910s,Mauritius,Africa,Reptiles
Madeiran wood pigeon,Columba palumbus maderensis,1924,1920s,Portugal (Madeira),Africa,Birds
Bubal hartebeest,Alcelaphus buselaphus buselaphus,1925,1920s,North Africa,Africa,Mammals
Ethiopian amphibious rat,Nilopegamys plumbeus,1927,1920s,Ethiopia,Africa,Mammals
Roque Chico de Salmor giant lizard,Gallotia simonyi simonyi,1930s,1930s,Spain (Canary Islands),Africa,Reptiles
Salmo pallaryi,,1930s,1930s,Morocco,Africa,Fish
Canary Islands oystercatcher,Haematopus meadewaldoi,1940,1940s,Spain (Canary Islands),Africa,Birds
Cape Verde giant skink,Macroscincus coctei,1940,1940s,Cape Verde,Africa,Reptiles
Du Toit's torrent frog,Arthroleptides dutoiti,1962,1960s,Kenya,Africa,Amphibians
Ptychochromis onilahy,,1962,1960s,Madagascar,Africa,Fish
Round Island burrowing boa,Bolyeria multocarinata,1975,1970s,Mauritius,Africa,Reptiles
Wimmer's shrew,Crocidura wimmeri,1976,1970s,Côte d'Ivoire,Africa,Mammals
Aplocheilichthys sp. nov. 'Naivasha',,1970s,1970s,Kenya,Africa,Fish
Aldabra brush-warbler,Nesillas aldabrana,1983,1980s,Seychelles,Africa,Birds
Alaotra grebe,Tachybaptus rufolavatus,1985,1980s,Madagascar,Africa,Birds
Eastern Canary Islands chiffchaff,Phylloscopus canariensis exsul,1986,1980s,Spain (Canary Islands),Africa,Birds
Western black rhinoceros,Diceros bicornis longipes,1996,1990s,Cameroon,Africa,Mammals
Osgood's Ethiopian toad,Altiphrynoides osgoodi,2003,2000s,Ethiopia,Africa,Amphibians
Atlas wild ass,Equus africanus atlanticus,300,300s,North Africa,Africa,Mammals
North African elephant,Loxodonta africana pharaoensis,300 AD,300s,North Africa,Africa,Mammals
Damaliscus hysodon,,10000 BC,BC,East Africa,Africa,Mammals
Hipposideros besaoka,The largest insectivorous bat of Madagascar,"10,000 BC",BC,Madagascar,Africa,Mammals
Bibymalagasy,Plesiorycteropus sp.,200 BC,BC,Madagascar,Africa,Mammals
Megaceroides algericus,"Deer with a bizarre wide, short, incredibly thick skull",4000 BC,BC,North Africa,Africa,Mammals
Megalotragus,Very large bovids,"10,000 BC",BC,Africa,Africa,Mammals
Syncerus (formerly Pelorovis) antiquus,"Very large, African bufflalo-like bovid",2000 BC,BC,Africa,Africa,Mammals
Mauritius starling,Cryptopsar ischyrhynchus,Holocene Epoch,Holocene Epoch,Mauritius,Africa,Birds
Aurochs,Bos primigenius,Unknown,Unknown,North Africa,Africa,Mammals
Cape serval,Leptailurus serval serval,Unknown,Unknown,South Africa,Africa,Mammals
Kenya oribi,Ourebia ourebi kenyae,Unknown,Unknown,Kenya,Africa,Mammals
Robert's lechwe,Kobus leche robertsi,Unknown,Unknown,South Africa,Africa,Mammals
Canary Islands quail,Coturnix gomerae,Unknown,Unknown,Spain (Canary Islands),Africa,Birds
Lagrand's ground roller,Brachypteracias lagrandi,Unknown,Unknown,Madagascar,Africa,Birds
Hoffstetter's worm snake,Typhlops cariei,Unknown,Unknown,Mauritius,Africa,Reptiles
Mozambique centipede-eater,Aparallactus nigriceps,Unknown,Unknown,Mozambique,Africa,Reptiles
Togo slippery frog,Conraua derooi,Unknown,Unknown,Ghana and Togo,Africa,Amphibians
Barbus microbarbis,,Unknown,Unknown,Rwanda,Africa,Fish
Pantanodon madagascariensis,,Unknown,Unknown,Madagascar,Africa,Fish
Buhler's coryphomys,Coryphomys buehleri,1500s,1500s,Indonesia (Timor),Asia,Mammals
Flores cave rat,Spelaeomys florensis,1500s,1500s,Indonesia (Flores),Asia,Mammals
Flores long-nosed rat,Paulamys naso,1500s,1500s,Indonesia (Flores),Asia,Mammals
Verhoeven's giant tree rat,Papagomys theodorverhoeveni,1500s,1500s,Indonesia (Flores),Asia,Mammals
Aurochs,Bos primigenius,"India (13th century AD), Eurasia (1627)",1620s,Northern Asia and Indian Subcontinent,Asia,Mammals
Steller's sea cow,Hydrodamalis gigas,1768,1760s,Russia (Commander Islands),Asia,Mammals
Bonin thrush,Zoothera terrestris,1827,1820s,Japan (Bonin Islands),Asia,Birds
Bonin grosbeak,Carpodacus ferreorostris,1828,1820s,Japan (Bonin Islands),Asia,Birds
Black-browed babbler,Malacocincla perspicillata,1843 to 1848,1840s,Indonesia,Asia,Birds
Spectacled cormorant,Phalacrocorax perspicillatus,1850,1850s,Russia,Asia,Birds
Pseudophilautus leucorhinus,,1856,1850s,Sri Lanka,Asia,Amphibians
Caucasian elk,Alces alces caucasicus,1850s,1850s,"Caucasus Mountains, Iran and Turkey",Asia,Mammals
Pseudophilautus maia,,1860,1860s,Sri Lanka,Asia,Amphibians
Pseudophilautus temporalis,,1864,1860s,Sri Lanka,Asia,Amphibians
Siau scops owl,Otus manadensis siaoensis,1866,1860s,Indonesia (Sulawesi),Asia,Birds
Pseudophilautus nanus,,1869,1860s,Sri Lanka,Asia,Amphibians
Pseudophilautus nasutus,,1869,1860s,Sri Lanka,Asia,Amphibians
Pseudophilautus oxyrhynchus,,1872,1870s,Sri Lanka,Asia,Amphibians
Himalayan quail,Ophrysia superciliosa,1876,1870s,India,Asia,Birds
Pseudophilautus pardus,,Before 1876,1870s,Sri Lanka,Asia,Amphibians
Gunther's streamlined frog,Nannophrys guentheri,1882,1880s,Sri Lanka,Asia,Amphibians
Pseudophilautus extirpo,,1882,1880s,Sri Lanka,Asia,Amphibians
Pseudophilautus adspersus,,1886,1880s,Sri Lanka,Asia,Amphibians
Ryukyu kingfisher,Todiramphus miyakoensis,1887,1880s,Japan (Ryukyu Islands),Asia,Birds
Hokkaidō wolf,Canis lupus hattai,1889,1880s,"Japan (Hokkaidō) and Russia (Sakhalin, Kuril Islands, and Kamchatka)",Asia,Mammals
Bonin nankeen night heron,Nycticorax caledonicus crassirostris,1889,1880s,Japan (Bonin Islands),Asia,Birds
Bonin wood pigeon,Columba versicolor,1889,1880s,Japan (Bonin Islands),Asia,Birds
Sulu bleeding-heart,Gallicolumba menagei,1891,1890s,Philippines,Asia,Birds
Pseudophilautus halyi,,1899,1890s,Sri Lanka,Asia,Amphibians
Honshū wolf,Canis lupus hodophilax,1905,1900s,"Japan (Honshū, Shikoku, and Kyūshū)",Asia,Mammals
Rück's blue flycatcher,Cyornis ruckii,1918,1910s,Indonesia (Sumatra),Asia,Birds
Caucasian wisent,Bison bonasus caucasicus,1925,1920s,Caucasus Mountains,Asia,Mammals
Pseudophilautus rugatus,,1927,1920s,Sri Lanka,Asia,Amphibians
Pseudophilautus zimmeri,,1927,1920s,Sri Lanka,Asia,Amphibians
Bering cackling goose,Branta hutchinsii asiatica,1929,1920s,Russia (Komandorski and Kuril Islands),Asia,Birds
Vaurie's nightjar,Caprimulgus centralasicus,1929,1920s,China,Asia,Birds
Indian Javan rhinoceros,Rhinoceros sondaicus inermis,Before 1925,1920s,"Bangladesh, Burma (Myanmar), and India",Asia,Mammals
Mukojima white-eye,Apalopteron familiare familiare,1930,1930s,Japan (Bonin Islands),Asia,Birds
Pseudophilautus dimbullae,,1933,1930s,Sri Lanka,Asia,Amphibians
Pseudophilautus eximius,,1933,1930s,Sri Lanka,Asia,Amphibians
Ryukyu wood pigeon,Columba jouyi,1936,1930s,Japan (Ryukyu Islands),Asia,Birds
Schomburgk's deer,Rucervus schomburgki,1938,1930s,Thailand,Asia,Mammals
Javan lapwing,Vanellus macropterus,1940,1940s,Indonesia (Java),Asia,Birds
Bali tiger,Panthera tigris sondaica,1940s,1940s,Indonesia (Bali),Asia,Mammals
Pseudophilautus zal,,Before 1947,1940s,Sri Lanka,Asia,Amphibians
Cyprus dipper,Cinclus cinclus olympicus,1950,1950s,Cyprus,Asia,Birds
Queen of Sheba's gazelle,Gazella bilkis,1951,1950s,Yemen,Asia,Mammals
Ilin Island cloudrunner,Crateromys paulus,1953,1950s,Philippines,Asia,Mammals
Negros fruit dove,Ptilinopus arcanus,1953,1950s,Philippines,Asia,Birds
Pink-headed duck,Rhodonessa caryophyllacea,1950s,1950s,"Bangladesh, Burma (Myanmar) and India",Asia,Birds
Gloomy tube-nosed bat,Murina tenebrosa,1962,1960s,"Tsushima Island, Japan",Asia,Mammals
Arabian ostrich,Struthio camelus syriacus,1966,1960s,Middle East,Asia,Birds
Catanduanes bleeding heart,Gallicolumba luzonica rubiventris,1971,1970s,Philippines,Asia,Birds
Japanese sea lion,Zalophus japonicus,1974,1970s,Sea of Japan,Asia,Mammals
Acanthobrama hulensis,,1975,1970s,Israel,Asia,Fish
Siamese flat-barbelled catfish,Platytropius siamensis,1977,1970s,Thailand,Asia,Fish
Japanese river otter,Lutra lutra whiteleyi,1979,1970s,Japan,Asia,Mammals
Yunnan lake newt,Cynops wolterstorffi,1979,1970s,China (Yunnan),Asia,Amphibians
Caspian tiger,Panthera tigris tigris,1970s,1970s,Turkey to China,Asia,Mammals
Javan tiger,Panthera tigris sondaica,1970s,1970s,Indonesia (Java),Asia,Mammals
Tristramella intermedia,,1970s,1970s,Israel,Asia,Fish
White-eyed river martin,Pseudochelidon sirintarae,1980,1980s,Thailand,Asia,Birds
Cyprinus yilongensis,,1981,1980s,China,Asia,Fish
Crested shelduck,Tadorna cristata,1985,1980s,"Japan, North Korea and South Korea",Asia,Birds
Malabar civet,Viverra civettina,1987,1980s,India,Asia,Mammals
Kouprey,Bos sauveli,1988,1980s,"Cambodia, Laos, Thailand & Vietnam",Asia,Mammals
Slender-billed curlew,Numenius tenuirostris,1998,1990s,Russia (Siberia),Asia,Birds
Gokce baligi,Alburnus akili,1998,1990s,Turkey,Asia,Fish
Formosan clouded leopard,Neofelis nebulosa brachyura,1990s,1990s,Taiwan,Asia,Mammals
Cebu warty pig,Sus cebifrons cebifrons,2000,2000s,Philippines,Asia,Mammals
Baiji,Lipotes vexillifer,2004,2000s,"Yangtze River, China",Asia,Mammals
Vietnamese Javan rhinoceros,Rhinoceros sondaicus annamiticus,2010,2010s,Vietnam to Malaysia,Asia,Mammals
Cave lion,Panthera spelaea,10000 BC,BC,Northern Asia and had a widespread across Europe and Southern Asia,Asia,Mammals
Chinese elephant,Elephas maximus rubridens,1500 BC,BC,Eastern China,Asia,Mammals
Elasmotherium,Elasmotherium sp.,29000 BC,BC,Northern Asia,Asia,Mammals
Giant tapir,Tapirus augustus,2000 BC,BC,China,Asia,Mammals
Giant deer,Megaloceros giganteus,5700 BC,BC,Northern Asia,Asia,Mammals
Stegodon,Stegodon florensis insularis,2150 BC,BC,Indonesia (Flores) and Philippine Islands,Asia,Mammals
Steppe wisent,Bison priscus,3400 BC,BC,Central Asia to Siberia,Asia,Mammals
Syrian elephant,Elephas maximus asurus,100 BC,BC,Middle East,Asia,Mammals
Woolly mammoth,Mammuthus primigenius,2000 BC,BC,Northern Asia,Asia,Mammals
Woolly rhinoceros,Coelodonta antiquitatis,10000 BC,BC,Northern Asia,Asia,Mammals
Asian ostrich,Struthio asiaticus,"10,000 BC",BC,Middle East to Central Asia,Asia,Birds
Bennu heron,Ardea bennuides,2000 BC,BC,United Arab Emirates,Asia,Birds
Megalochelys atlas,,10000 BC,BC,Indian Subcontinent to Indonesia,Asia,Reptiles
Cyprus dwarf hippopotamus,Hippopotamus minor,Unknown,Unknown,Cyprus,Asia,Mammals
Northern Sumatran rhinoceros,Dicerorhinus sumatrensis lasiotis,Unknown,Unknown,"Bangladesh, Burma (Myanmar), and India",Asia,Mammals
Saudi gazelle,Gazella saudiya,Unknown,Unknown,Arabian Peninsula,Asia,Mammals
Sturdee's pipistrelle,Pipistrellus sturdeei,Unknown,Unknown,Japan (Bonin Islands),Asia,Mammals
Cebu hanging parrot,Loriculus philippensis chrysonotus,Unknown,Unknown,Philippines (Cebu),Asia,Birds
Pseudophilautus malcolmsmithi,,Unknown,Unknown,Sri Lanka,Asia,Amphibians
Pseudophilautus variabilis,,Unknown,Unknown,Sri Lanka,Asia,Amphibians
Tristramella magdelainae,,Unknown,Unknown,Syria,Asia,Fish
brown bear,Ursus arctos arctos,1000s,1000s,Netherlands,Europe,Mammals
Lion,Panthera leo leo,1st to 4th century AD - 10th century AD,1000s,Balkans - Transcaucasia,Europe,Mammals
European elk,Alces alces alces,1025,1020s,Netherlands,Europe,Mammals
Canary Islands giant rats Canariomys bravoi and Canariomys tamarani,,Before 1500,1400s,Spain (the Canary Islands),Europe,Mammals
White stork,,1416,1410s,British Isles,Europe,Birds
Sardinian giant shrew,Nesiotites similis,1500s,1500s,Italy (Sardinia),Europe,Mammals
Atlantic gray whale,Eschrichtius robustus,1600s,1500s,North Atlantic (seen in Mediterranean in 2010),Europe,Mammals
Aurochs,Bos primigenius,1627,1620s,Europe (native to Poland),Europe,Mammals
Aurochs,,1627,1620s,Romania,Europe,Mammals
Brown bear,,1758,1750s,"Ursus arctos, Linnaeus",Europe,Mammals
Common sturgeon of Europe,,1758,1750s,"Acipenser sturio, Linnaeus",Europe,Fish
Zope,,1758,1750s,"Ballerus ballerus, Lithuania",Europe,Fish
European mink,,1761,1760s,"Mustela lutreola, Linnaeus",Europe,Mammals
Garden dormouse,,1766,1760s,"Eliomys quercinus, Lithuania",Europe,Mammals
Sardinian pika,Prolagus sardus,1774,1770s,Italy (Sardinia),Europe,Mammals
Western capercaillie,,1780s,1780s,British Isles,Europe,Birds
Carpathian wisent,Bison bonasus hungarorum,1790,1790s,the Carpathian Mountains,Europe,Mammals
Eurasian spoonbill,,1600s,1800s,British Isles,Europe,Birds
Saiga antelope,Saiga tatarica,1800s,1800s,"Moldova, Poland, Romania, Russia, Ukraine",Europe,Mammals
Great bustard,,1800s,1800s,British Isles,Europe,Birds
Pied avocet,,1800s,1800s,British Isles,Europe,Birds
Great auk,,1844,1840s,British Isles,Europe,Birds
Great auk,Pinguinus impennis,1854,1850s,Iceland and the northern European coast,Europe,Birds
Caucasian elk,Alces alces caucasicus,1850s,1850s,the Caucasus Mountains,Europe,Mammals
Chondrostoma scodrense,,Late 19th century,1850s,Albania and Montenegro,Europe,Fish
Northern goshawk,,Late 19th century,1850s,British Isles,Europe,Birds
Western marsh harrier,,Late 19th century,1850s,British Isles,Europe,Birds
European mink,Mustela lutreola,1887,1880s,Netherlands,Europe,Mammals
Coregonus restrictus,,1890,1890s,"Lake Morat, Switzerland",Europe,Fish
Danube delta gudgeon,Salvelinus neocomensis,1890,1890s,"the Lower Danube, Romania and Ukraine",Europe,Fish
Portuguese ibex,Capra pyrenaica lusitanica,1892,1890s,Portugal and Spain,Europe,Mammals
Tarpan,Equus ferus ferus,1909,1900s,Europe,Europe,Mammals
Tarpan,Eurasian wild horse,1909,1900s,Romania,Europe,Mammals
Osprey,,1916,1910s,British Isles,Europe,Birds
White-tailed eagle,,1916,1910s,British Isles,Europe,Birds
Caucasian wisent,Bison bonasus caucasicus,1925,1920s,the Caucasus Mountains,Europe,Mammals
St. Kilda house mouse,Mus musculus muralis,1930,1930s,the United Kingdom (St. Kilda),Europe,Mammals
wood sandpiper,Tringa glareola,1939,1930s,Netherlands,Europe,Birds
Roque Chico de Salmor giant lizard,Gallotia simonyi simonyi,1930s,1930s,Spain (the Canary Islands),Europe,Reptiles
Lake Constance whitefish,Coregonus gutturosus,1930s,1930s,"Austria, Germany and Switzerland",Europe,Fish
Houting,Coregonus oxyrinchus,1940,1940s,"Belgium, France, Germany, the Netherlands and the United Kingdom",Europe,Fish
Pied raven,Corvus corax varius morpha leucophaeus,1950,1950s,Denmark (the Faroe Islands),Europe,Birds
Ratas Island lizard,Podarcis lilfordi rodriquezi,1950,1950s,Spain (Minorca),Europe,Reptiles
Coregonus fera,,1950,1950s,France and Switzerland,Europe,Fish
Gravenche,Coregonus hiemalis,1950,1950s,France and Switzerland,Europe,Fish
Santo Stefano lizard,Podarcis sicula sanctistephani,1965,1960s,Italy (Santo Stefano Island),Europe,Reptiles
Coregonus bezola,,1960s,1960s,"Lac du Bourget, France",Europe,Fish
Techirghiol stickleback,Gasterosteus crenobiontus,1960s,1960s,"Lake Techirghiol, Romania",Europe,Fish
Alosa fallax,twaite shad,1970,1970s,Netherlands,Europe,Fish
houting,Coregonus oxyrinchus,1970,1970s,Netherlands,Europe,Fish
greater horseshoe bat,Rhinolophus ferrumequinum,1974,1970s,Netherlands,Europe,Mammals
Kentish plover,,1979,1970s,British Isles,Europe,Birds
Caspian tiger,"Panthera tigris tigris, syn. Panthera tigris virgata",1970s,1970s,Turkey to the Caucasus Mountains,Europe,Mammals
lesser horseshoe bat,Rhinolophus hipposideros,1983,1980s,Netherlands,Europe,Mammals
Red-backed shrike,,1989,1980s,British Isles,Europe,Birds
Majorcan hare,Lepus granatensis solisi,1980s,1980s,Spain (Majorca),Europe,Mammals
Alosa alosa,allis shad,1993,1990s,Netherlands,Europe,Fish
